2022-05-21 07:51:03,781 [http-nio-8080-exec-1] INFO  LOG_TO_FILE - Tables were created from sql file
2022-05-21 07:51:03,827 [http-nio-8080-exec-1] INFO  LOG_TO_FILE - Save all users to DB
2022-05-21 07:51:03,845 [http-nio-8080-exec-1] INFO  LOG_TO_FILE - Save all addresses to DB
2022-05-21 07:51:03,864 [http-nio-8080-exec-1] INFO  LOG_TO_FILE - Save all templates to DB
2022-05-21 07:51:03,884 [http-nio-8080-exec-1] INFO  LOG_TO_FILE - Save all payments to DB
2022-05-21 07:51:51,293 [http-nio-8080-exec-1] ERROR LOG_TO_FILE - createTables1.sql (The system cannot find the file specified)
2022-05-21 07:51:51,295 [http-nio-8080-exec-1] INFO  LOG_TO_FILE - Tables were created from sql file
2022-05-21 08:08:22,825 [http-nio-8080-exec-1] INFO  LOG_TO_FILE - Tables were created from sql file
2022-05-21 08:17:10,379 [http-nio-8080-exec-1] INFO  LOG_TO_FILE - Tables were created from sql file
2022-05-21 08:19:12,259 [http-nio-8080-exec-1] INFO  LOG_TO_FILE - Tables were created from sql file
2022-05-21 08:20:34,212 [http-nio-8080-exec-1] INFO  LOG_TO_FILE - Tables were created from sql file
2022-05-21 08:21:54,783 [http-nio-8080-exec-1] INFO  LOG_TO_FILE - Tables were created from sql file
2022-05-21 08:34:34,309 [http-nio-8080-exec-2] INFO  LOG_TO_FILE - Save address to DB : UserBillingAddress{id=0, billingAddress='Ivanov Ivan,Kashtanovaya str, Kyiv 45005', userContact='0993505050'}
2022-05-21 08:35:12,360 [http-nio-8080-exec-4] INFO  LOG_TO_FILE - User{fio='Ivanov Ivan, email='i.ivanov@gmail.com, phone='0993505050}
2022-05-21 08:35:51,037 [http-nio-8080-exec-5] INFO  LOG_TO_FILE - UserBillingAddress{id=1000001, billingAddress='Ivanov Ivan,Kashtanovaya str, Kyiv 45005', userContact='0993505050'}
2022-05-21 08:37:05,439 [http-nio-8080-exec-7] INFO  LOG_TO_FILE - Save address to DB : UserBillingAddress{id=0, billingAddress='Ivanov Ivan,Abrikosovaya str, Lviv, 90009', userContact='0993505050'}
2022-05-21 08:46:59,009 [http-nio-8080-exec-1] INFO  LOG_TO_FILE - Save template to DB : Template{templateID=0, templateName='Template 1', iban='UA903052992990004149123456701', paymentPurpose='Purpose 1', userContact='0993505050'}
2022-05-21 08:47:28,932 [http-nio-8080-exec-2] INFO  LOG_TO_FILE - Save template to DB : Template{templateID=0, templateName='Template 2', iban='UA903052992990004149123456702', paymentPurpose='Purpose 2', userContact='0993505050'}
2022-05-21 08:47:32,418 [http-nio-8080-exec-3] INFO  LOG_TO_FILE - Save template to DB : Template{templateID=0, templateName='Template 3', iban='UA903052992990004149123456703', paymentPurpose='Purpose 3', userContact='0993505050'}
2022-05-21 08:47:35,105 [http-nio-8080-exec-4] INFO  LOG_TO_FILE - Save template to DB : Template{templateID=0, templateName='Template 4', iban='UA903052992990004149123456704', paymentPurpose='Purpose 4', userContact='0993505050'}
2022-05-21 09:09:26,434 [http-nio-8080-exec-1] INFO  LOG_TO_FILE - Save payment to DB : Payment{id=0, templateId=10000001, cardNumber='4485578898964235', sum=100.55, status='new', creationDateTime=null, statusChangedDateTime=null}
